process,TP,FP,TN,FN,precision,recall,accuracy,f_measure,mcc,precision-recall area
R-HSA-1799329,68.0,46.0,21152.0,36.0,0.5964912280701754,0.6538461538461539,0.9961505961881514,0.6238532110091742,0.6225848160246584,0.5885630075517415
R-HSA-1799330,66.0,41.0,21166.0,29.0,0.616822429906542,0.6947368421052632,0.9967139235752511,0.6534653465346535,0.6529845503932127,0.6369315449728543
R-HSA-1799332,66.0,41.0,21168.0,27.0,0.616822429906542,0.7096774193548387,0.9968078114731012,0.6599999999999999,0.6600386050040018,0.638538227590148
R-HSA-1799335,66.0,42.0,21173.0,21.0,0.6111111111111112,0.7586206896551724,0.997042531217726,0.676923076923077,0.6794424050200809,0.656733027026394
R-HSA-180573,42.0,28.0,21222.0,10.0,0.6,0.8076923076923077,0.9982161299408506,0.6885245901639345,0.6953020956715709,0.4545504557535376
R-HSA-180603,44.0,26.0,21222.0,10.0,0.6285714285714286,0.8148148148148148,0.9983100178387005,0.7096774193548386,0.7148545118625694,0.5960409784923361
R-HSA-181450,16.0,90.0,21162.0,34.0,0.1509433962264151,0.32,0.9941789503333021,0.2051282051282051,0.2171546591150097,0.07055593727320604
R-HSA-187574,43.0,27.0,21218.0,14.0,0.6142857142857143,0.7543859649122807,0.9980752980940757,0.6771653543307086,0.6798023557147866,0.5318433317751287
R-HSA-188191,50.0,2.0,21234.0,16.0,0.9615384615384616,0.7575757575757576,0.9991550089193503,0.8474576271186441,0.8530986648500408,0.8279194152389083
R-HSA-192704,66.0,42.0,21173.0,21.0,0.6111111111111112,0.7586206896551724,0.997042531217726,0.676923076923077,0.6794424050200809,0.656733027026394
R-HSA-192841,66.0,41.0,21172.0,23.0,0.616822429906542,0.7415730337078652,0.996995587268801,0.6734693877551021,0.6748511474060397,0.6431662579423943
R-HSA-205039,24.0,656.0,20594.0,28.0,0.03529411764705882,0.46153846153846156,0.9678903389353113,0.06557377049180328,0.12089372716713284,0.03367930934239867
R-HSA-209061,40.0,32.0,21218.0,12.0,0.5555555555555556,0.7692307692307693,0.9979344662473008,0.6451612903225806,0.652747944357325,0.3737056282837117
R-HSA-211715,40.0,32.0,21220.0,10.0,0.5555555555555556,0.8,0.9980283541451507,0.6557377049180328,0.6657565665262787,0.388622498989089
R-HSA-212222,20.0,72.0,21164.0,46.0,0.21739130434782608,0.30303030303030304,0.9944606140268519,0.25316455696202533,0.2539473153682359,0.0917798236089735
R-HSA-212252,20.0,59.0,21175.0,48.0,0.25316455696202533,0.29411764705882354,0.9949769974650268,0.27210884353741494,0.27036606559629256,0.10071316260634498
R-HSA-212263,20.0,59.0,21175.0,48.0,0.25316455696202533,0.29411764705882354,0.9949769974650268,0.27210884353741494,0.27036606559629256,0.10071316260634498
R-HSA-212269,20.0,72.0,21164.0,46.0,0.21739130434782608,0.30303030303030304,0.9944606140268519,0.25316455696202533,0.2539473153682359,0.0917798236089735
R-HSA-2130282,44.0,26.0,21208.0,24.0,0.6285714285714286,0.6470588235294118,0.9976528025537508,0.6376811594202899,0.6365712863638111,0.5125603557634414
R-HSA-2172678,17.0,90.0,21152.0,43.0,0.1588785046728972,0.2833333333333333,0.9937564547929771,0.20359281437125745,0.20922762799956335,0.06874838956049313
R-HSA-2213248,15.0,22.0,21204.0,61.0,0.40540540540540543,0.19736842105263158,0.9961036522392264,0.2654867256637168,0.28112425312686057,0.19161048505301975
R-HSA-2245218,14.0,57.0,21183.0,48.0,0.19718309859154928,0.22580645161290322,0.9950708853628767,0.21052631578947367,0.20854641205902677,0.0636317463698981
R-HSA-2288097,13.0,52.0,21185.0,52.0,0.2,0.2,0.9951178293118017,0.20000000000000004,0.19755144323586193,0.0686632071391884
R-HSA-2294574,18.0,99.0,21138.0,47.0,0.15384615384615385,0.27692307692307694,0.9931461834569524,0.19780219780219782,0.20318056920274655,0.07001121513044453
R-HSA-2294580,18.0,99.0,21138.0,47.0,0.15384615384615385,0.27692307692307694,0.9931461834569524,0.19780219780219782,0.20318056920274655,0.07001121513044453
R-HSA-2294590,18.0,99.0,21138.0,47.0,0.15384615384615385,0.27692307692307694,0.9931461834569524,0.19780219780219782,0.20318056920274655,0.07001121513044453
R-HSA-2294600,17.0,86.0,21150.0,49.0,0.1650485436893204,0.25757575757575757,0.9936625668951272,0.20118343195266272,0.2031208865069599,0.06670356647392674
R-HSA-2301205,17.0,90.0,21151.0,44.0,0.1588785046728972,0.2786885245901639,0.9937095108440522,0.20238095238095233,0.20744802526097406,0.0682876777222184
R-HSA-2316434,59.0,120.0,21097.0,26.0,0.329608938547486,0.6941176470588235,0.9931461834569524,0.44696969696969696,0.47547423374602005,0.3608501902592115
R-HSA-2400009,58.0,116.0,21108.0,20.0,0.3333333333333333,0.7435897435897436,0.9936156229462022,0.46031746031746035,0.4953207994152296,0.3761133272435584
R-HSA-2408529,66.0,41.0,21172.0,23.0,0.616822429906542,0.7415730337078652,0.996995587268801,0.6734693877551021,0.6748511474060397,0.6433224498083616
R-HSA-2467809,69.0,73.0,21106.0,54.0,0.4859154929577465,0.5609756097560976,0.9940381184865271,0.5207547169811321,0.5191233728650695,0.4453668290954686
R-HSA-2467811,75.0,96.0,21084.0,47.0,0.43859649122807015,0.6147540983606558,0.9932870153037273,0.5119453924914676,0.5160268894415401,0.43878891743774545
R-HSA-2468287,71.0,82.0,21095.0,54.0,0.46405228758169936,0.568,0.9936156229462022,0.5107913669064749,0.5102395869548146,0.4436096443136673
R-HSA-2484822,75.0,96.0,21084.0,47.0,0.43859649122807015,0.6147540983606558,0.9932870153037273,0.5119453924914676,0.5160268894415401,0.43878891743774545
R-HSA-2574840,26.0,12.0,21218.0,46.0,0.6842105263157895,0.3611111111111111,0.997277250962351,0.4727272727272728,0.4958924477900889,0.39571946217701187
R-HSA-2574845,26.0,12.0,21218.0,46.0,0.6842105263157895,0.3611111111111111,0.997277250962351,0.4727272727272728,0.4958924477900889,0.39571946217701187
R-HSA-264458,40.0,32.0,21220.0,10.0,0.5555555555555556,0.8,0.9980283541451507,0.6557377049180328,0.6657565665262787,0.38865873000231177
R-HSA-3000310,26.0,12.0,21218.0,46.0,0.6842105263157895,0.3611111111111111,0.997277250962351,0.4727272727272728,0.4958924477900889,0.39783083798593954
R-HSA-3000319,26.0,12.0,21218.0,46.0,0.6842105263157895,0.3611111111111111,0.997277250962351,0.4727272727272728,0.4958924477900889,0.39783083798593954
R-HSA-3222593,13.0,78.0,21165.0,46.0,0.14285714285714285,0.22033898305084745,0.9941789503333021,0.1733333333333333,0.1745925884341023,0.04924411896456772
R-HSA-3223200,20.0,34.0,21197.0,51.0,0.37037037037037035,0.28169014084507044,0.9960097643413764,0.32,0.32103626384821066,0.1681731056942717
R-HSA-3229089,20.0,33.0,21199.0,50.0,0.37735849056603776,0.2857142857142857,0.9961036522392264,0.3252032520325203,0.32643767543807467,0.17026485057856028
R-HSA-3229102,20.0,39.0,21190.0,53.0,0.3389830508474576,0.273972602739726,0.9956811566989016,0.30303030303030304,0.3026059452651808,0.16554402525417383
R-HSA-3240295,20.0,102.0,21137.0,43.0,0.16393442622950818,0.31746031746031744,0.9931931274058774,0.2162162162162162,0.2249902640227071,0.07492676715631055
R-HSA-3364026,18.0,64.0,21166.0,54.0,0.21951219512195122,0.25,0.9944606140268519,0.2337662337662338,0.23149035849746177,0.07716955062450079
R-HSA-3451147,13.0,56.0,21194.0,39.0,0.18840579710144928,0.25,0.9955403248521265,0.21487603305785125,0.21482689337355992,0.07389117048324677
R-HSA-3640874,40.0,32.0,21216.0,14.0,0.5555555555555556,0.7407407407407407,0.9978405783494507,0.634920634920635,0.6404673837579263,0.38392216012939645
R-HSA-3662335,20.0,137.0,21103.0,42.0,0.12738853503184713,0.3225806451612903,0.991597033142428,0.182648401826484,0.19910671094712082,0.058300164130536396
R-HSA-375302,69.0,91.0,21098.0,44.0,0.43125,0.6106194690265486,0.9936625668951272,0.5054945054945055,0.5101134212580664,0.4406334343076027
R-HSA-376419,12.0,26.0,21226.0,38.0,0.3157894736842105,0.24,0.996995587268801,0.2727272727272727,0.27381823303745934,0.15618267427186786
R-HSA-3769447,30.0,89.0,21128.0,55.0,0.25210084033613445,0.35294117647058826,0.9932400713548024,0.29411764705882354,0.29498097316391625,0.16603875063144016
R-HSA-3777129,20.0,121.0,21114.0,47.0,0.14184397163120568,0.29850746268656714,0.9921134165806028,0.19230769230769232,0.20219517338175466,0.05941268611407594
R-HSA-3782637,13.0,77.0,21163.0,49.0,0.14444444444444443,0.20967741935483872,0.994085062435452,0.17105263157894737,0.17113477137152797,0.04568629356910597
R-HSA-3782655,15.0,111.0,21129.0,47.0,0.11904761904761904,0.24193548387096775,0.9925828560698526,0.15957446808510636,0.16629590060188373,0.0453375857910749
R-HSA-3785711,16.0,90.0,21162.0,34.0,0.1509433962264151,0.32,0.9941789503333021,0.2051282051282051,0.2171546591150097,0.07055593727320604
R-HSA-3788745,16.0,84.0,21158.0,44.0,0.16,0.26666666666666666,0.9939911745376021,0.2,0.2036878923844765,0.05789712138649435
R-HSA-3788748,16.0,84.0,21158.0,44.0,0.16,0.26666666666666666,0.9939911745376021,0.2,0.2036878923844765,0.05789712138649435
R-HSA-379044,50.0,33.0,21160.0,59.0,0.6024096385542169,0.45871559633027525,0.9956811566989016,0.5208333333333334,0.5235699879699383,0.44045294788573996
R-HSA-379048,67.0,79.0,21076.0,80.0,0.4589041095890411,0.4557823129251701,0.9925359121209276,0.45733788395904434,0.45358271848487786,0.3067224310644972
R-HSA-380073,114.0,112.0,20976.0,100.0,0.504424778761062,0.5327102803738317,0.9900478828279035,0.5181818181818183,0.5133525666623705,0.4246398333034573
R-HSA-380272,28.0,18.0,21214.0,42.0,0.6086956521739131,0.4,0.997183363064501,0.48275862068965525,0.4921113012233187,0.39761321606451283
R-HSA-380283,45.0,42.0,21180.0,35.0,0.5172413793103449,0.5625,0.9963853159327762,0.5389221556886229,0.5375870912173344,0.45223096232359566
R-HSA-380294,28.0,18.0,21214.0,42.0,0.6086956521739131,0.4,0.997183363064501,0.48275862068965525,0.4921113012233187,0.39761321606451283
R-HSA-380303,28.0,18.0,21214.0,42.0,0.6086956521739131,0.4,0.997183363064501,0.48275862068965525,0.4921113012233187,0.39761321606451283
R-HSA-380311,28.0,18.0,21212.0,44.0,0.6086956521739131,0.3888888888888889,0.997089475166651,0.47457627118644075,0.4851758884124669,0.39190842170137563
R-HSA-380316,49.0,53.0,21155.0,45.0,0.4803921568627451,0.5212765957446809,0.9953994930053516,0.5,0.4981119171942246,0.42362794631534667
R-HSA-380455,28.0,18.0,21212.0,44.0,0.6086956521739131,0.3888888888888889,0.997089475166651,0.47457627118644075,0.4851758884124669,0.39190842170137563
R-HSA-380508,45.0,42.0,21179.0,36.0,0.5172413793103449,0.5555555555555556,0.9963383719838513,0.5357142857142857,0.5342220902243169,0.4537666928296405
R-HSA-382096,23.0,68.0,21183.0,28.0,0.25274725274725274,0.45098039215686275,0.9954933809032016,0.323943661971831,0.3355356917681821,0.22406588966493704
R-HSA-419166,5.0,12.0,21236.0,49.0,0.29411764705882354,0.09259259259259259,0.997136419115576,0.1408450704225352,0.16387542052470194,0.05463317654348573
R-HSA-427336,22.0,37.0,21192.0,51.0,0.3728813559322034,0.3013698630136986,0.9958689324946014,0.3333333333333333,0.3331755798256202,0.1905659744687061
R-HSA-427337,13.0,79.0,21164.0,46.0,0.14130434782608695,0.22033898305084745,0.994132006384377,0.17218543046357615,0.17360748929777972,0.047885397375134656
R-HSA-427383,14.0,84.0,21159.0,45.0,0.14285714285714285,0.23728813559322035,0.9939442305886771,0.178343949044586,0.1812131958444881,0.050967602619428246
R-HSA-427514,14.0,85.0,21156.0,47.0,0.1414141414141414,0.22950819672131148,0.9938033987419022,0.175,0.17717205034764177,0.05158794653709215
